"Pair_ID","Forward","Reverse","Distance","Coexpression_Coefficient","BH","DE_Forward","DE_Reverse","Count"
"Pair_730","TraesCS5B02G440700","TraesCS5B02G440600",214,0.23,1.02802474685407e-13,"4v23 ","4v23 ",1
"Pair_731","TraesCS5B02G442400","TraesCS5B02G442300",173,0.51,0,"MS 4v23 ","4v23 DH ",4
"Pair_732","TraesCS5B02G446400","TraesCS5B02G446300",212,0.49,0,"4v23 ","4v23 ",1
"Pair_733","TraesCS5B02G447600","TraesCS5B02G447400",152,0.3,0,"DH ","",0
"Pair_734","TraesCS5B02G453600","TraesCS5B02G453500",817,0.08,0.0158320279921673,"","",0
"Pair_735","TraesCS5B02G461400","TraesCS5B02G461300",371,0.53,0,"","4v23 ",0
"Pair_736","TraesCS5B02G478900","TraesCS5B02G478800",263,0.24,4.72692444796902e-14,"","MS 4v23 ",0
"Pair_737","TraesCS5B02G495700","TraesCS5B02G495600",250,0.05,0.186594971189961,"4v23 ","",0
"Pair_738","TraesCS5B02G528300","TraesCS5B02G528200",872,0.95,0,"4v23 ","",0
"Pair_739","TraesCS5B02G532300","TraesCS5B02G532200",182,-0.13,0.000102318107399372,"4v23 ","",0
"Pair_74","TraesCS1B02G417200","TraesCS1B02G417100",180,0.67,0,"","4v23 ",0
"Pair_740","TraesCS5B02G538500","TraesCS5B02G538400",395,-0.03,0.5164137161594,"4v23 ","",0
"Pair_741","TraesCS5B02G546800","TraesCS5B02G546700",610,-0.01,0.88831192592404,"","",0
"Pair_742","TraesCS5B02G552800","TraesCS5B02G552700",596,0,0.999041376315581,"","",0
"Pair_743","TraesCS5B02G556000","TraesCS5B02G555900",152,0.09,0.00733510920304916,"4v23 ","MS 4v23 ",2
"Pair_744","TraesCS5D02G001800","TraesCS5D02G001700",701,-0.05,0.197357553275043,"","",0
"Pair_745","TraesCS5D02G008600","TraesCS5D02G008400",433,-0.02,0.738444462984631,"","",0
"Pair_746","TraesCS5D02G008700","TraesCS5D02G008500",847,-0.01,0.878731720066892,"","",0
"Pair_747","TraesCS5D02G009300","TraesCS5D02G009200",103,-0.01,0.835944077573706,"","",0
"Pair_748","TraesCS5D02G011300","TraesCS5D02G011200",671,NA,NA,"","",0
"Pair_749","TraesCS5D02G030100","TraesCS5D02G030000",501,-0.05,0.204347912144817,"","MS 4v23 ",0
"Pair_75","TraesCS1B02G425400","TraesCS1B02G425300",123,0.07,0.0303664754415734,"","4v23 DH ",0
"Pair_750","TraesCS5D02G033600","TraesCS5D02G033500",452,0.83,0,"","",0
"Pair_751","TraesCS5D02G063400","TraesCS5D02G063300",265,0,0.967811373933733,"","",0
"Pair_752","TraesCS5D02G070600","TraesCS5D02G070500",202,0.95,0,"","",0
"Pair_753","TraesCS5D02G071100","TraesCS5D02G071000",190,0.23,1.26821112534151e-13,"4v23 DH ","4v23 ",2
"Pair_754","TraesCS5D02G080300","TraesCS5D02G080200",137,0.73,0,"","",0
"Pair_755","TraesCS5D02G090100","TraesCS5D02G090000",384,0.48,0,"4v23 DH ","4v23 DH ",4
"Pair_756","TraesCS5D02G099900","TraesCS5D02G099800",105,0.1,0.00180838247193455,"4v23 DH ","4v23 ",2
"Pair_757","TraesCS5D02G109000","TraesCS5D02G108900",965,-0.03,0.400633478786464,"DH ","",0
"Pair_758","TraesCS5D02G110700","TraesCS5D02G110600",610,0.32,0,"","",0
"Pair_759","TraesCS5D02G111200","TraesCS5D02G111100",800,-0.04,0.310513812258657,"4v23 DH ","",0
"Pair_76","TraesCS1B02G426400","TraesCS1B02G426300",172,0.52,0,"","",0
"Pair_760","TraesCS5D02G115400","TraesCS5D02G115300",320,0,0.999156620900187,"","",0
"Pair_761","TraesCS5D02G126600","TraesCS5D02G126500",166,-0.04,0.210612020325024,"4v23 ","",0
"Pair_762","TraesCS5D02G151800","TraesCS5D02G151700",150,0.32,0,"DH ","4v23 DH ",2
"Pair_763","TraesCS5D02G157100","TraesCS5D02G157000",108,-0.16,1.04120819273897e-06,"","4v23 DH ",0
